"Anomalies are relative to the year 1948, # Unit: mm over the global continental area without the ice sheets (132.3*10^6 km^2),   Reference: doi:10.5194/hess-24-4831-2020, d.caceres@em.uni-frankfurt.de",,,,,,,,,,
year,lwsa (ensemble mean),lwsa (ensemble minimum),lwsa (ensemble maximum),climate-driven lwsa (ensemble mean),climate-driven lwsa (ensemble minimum),climate-driven lwsa (ensemble maximum),human-driven lwsa (ensemble mean),human-driven lwsa (ensemble minimum),human-driven lwsa (ensemble maximum),lgwsa
1948,0,0,0,0,0,0,0,0,0,0
1949,1.695,-0.183,3.574,1.763,-0.046,3.571,-0.068,-0.137,0.002,-0.598
1950,4.367,4.184,4.555,4.642,4.524,4.759,-0.274,-0.368,-0.184,-1.553
1951,2.453,1.444,3.454,2.849,1.953,3.745,-0.396,-0.528,-0.257,-2.734
1952,3.058,2.22,3.882,3.383,2.706,4.059,-0.325,-0.512,-0.123,-3.622
1953,2.641,1.397,3.867,2.622,1.619,3.624,0.019,-0.222,0.243,-5.014
1954,3.031,2.389,3.65,3.256,2.915,3.598,-0.226,-0.526,0.052,-6.639
1955,5.968,5.424,6.486,6.029,5.787,6.271,-0.062,-0.391,0.293,-7.732
1956,9.643,8.738,10.576,9.678,9.077,10.28,-0.036,-0.45,0.349,-8.392
1957,6.811,5.955,7.64,6.661,6.259,7.063,0.15,-0.304,0.577,-10.138
1958,7.137,6.369,7.875,6.616,6.364,6.868,0.521,0.004,1.007,-12.329
1959,8.302,7.773,8.865,7.672,7.547,7.798,0.629,0.028,1.194,-13.535
1960,8.789,7.638,9.977,7.952,7.236,8.668,0.838,0.165,1.474,-15.098
1961,10.224,9.478,10.932,8.957,8.936,8.979,1.266,0.541,1.952,-16.95
1962,13.753,12.144,15.318,12.209,11.44,12.978,1.543,0.703,2.339,-18.606
1963,7.873,6.183,9.513,6.051,5.213,6.889,1.822,0.971,2.623,-19.641
1964,8.175,6.525,9.769,6.562,5.853,7.271,1.613,0.672,2.498,-19.904
1965,8.736,6.49,10.921,6.637,5.469,7.805,2.099,1.02,3.116,-19.906
1966,13.098,10.783,15.344,10.537,9.436,11.638,2.561,1.347,3.705,-20.428
1967,9.33,6.624,11.956,6.646,5.173,8.119,2.684,1.451,3.836,-21.456
1968,8.428,6.445,10.326,5.274,4.636,5.912,3.154,1.809,4.414,-22.031
1969,9.589,7.446,11.643,6.095,5.404,6.787,3.494,2.042,4.856,-22.834
1970,11.687,9.388,13.891,7.852,7.008,8.697,3.834,2.38,5.194,-23.766
1971,13.352,11.17,15.433,9.433,8.837,10.03,3.918,2.333,5.403,-24.179
1972,10.091,7.086,12.99,6.21,4.911,7.508,3.882,2.176,5.482,-24.544
1973,16.462,12.846,19.961,12.436,10.719,14.154,4.026,2.127,5.807,-24.771
1974,21.413,18.596,24.108,16.885,15.943,17.827,4.529,2.653,6.281,-25.503
1975,19.437,14.827,23.924,14.557,11.942,17.172,4.88,2.885,6.753,-26.283
1976,14.261,9.737,18.66,9.844,7.634,12.054,4.418,2.104,6.605,-26.545
1977,11.112,7.869,14.224,7.091,6.281,7.9,4.022,1.588,6.324,-26.852
1978,18.719,15.404,21.898,14.19,13.365,15.015,4.529,2.039,6.883,-27.811
1979,17.359,14.148,20.425,12.152,11.625,12.678,5.207,2.523,7.747,-28.857
