Changes in global mean sea level (GMSL) in millimeters compared to 1985-2004 average. ,,,,,,,,
Year,Ray&Dauglas 2011,Church&White 2011,"Jevrejeva et al., 2014","Hay et al.,  2015","Dangendorf et al., 2019","Frederikse et al., 2020","Palmer et al.,  2021",New reconstruction
1808,NaN,NaN,-206.7624921,NaN,NaN,NaN,NaN,NaN
1809,NaN,NaN,-159.196381,NaN,NaN,NaN,NaN,NaN
1810,NaN,NaN,-144.2066587,NaN,NaN,NaN,NaN,NaN
1811,NaN,NaN,-132.2516587,NaN,NaN,NaN,NaN,NaN
1812,NaN,NaN,-151.7202699,NaN,NaN,NaN,NaN,NaN
1813,NaN,NaN,-165.376381,NaN,NaN,NaN,NaN,NaN
1814,NaN,NaN,-164.8033254,NaN,NaN,NaN,NaN,NaN
1815,NaN,NaN,-172.0705476,NaN,NaN,NaN,NaN,NaN
1816,NaN,NaN,-157.1086032,NaN,NaN,NaN,NaN,NaN
1817,NaN,NaN,-148.2091587,NaN,NaN,NaN,NaN,NaN
1818,NaN,NaN,-136.9277699,NaN,NaN,NaN,NaN,NaN
1819,NaN,NaN,-172.4172143,NaN,NaN,NaN,NaN,NaN
1820,NaN,NaN,-186.6636032,NaN,NaN,NaN,NaN,NaN
1821,NaN,NaN,-160.8405476,NaN,NaN,NaN,NaN,NaN
1822,NaN,NaN,-134.6008254,NaN,NaN,NaN,NaN,NaN
1823,NaN,NaN,-165.1527699,NaN,NaN,NaN,NaN,NaN
1824,NaN,NaN,-184.621381,NaN,NaN,NaN,NaN,NaN
1825,NaN,NaN,-177.103881,NaN,NaN,NaN,NaN,NaN
1826,NaN,NaN,-200.5655477,NaN,NaN,NaN,NaN,NaN
1827,NaN,NaN,-196.3883254,NaN,NaN,NaN,NaN,NaN
1828,NaN,NaN,-134.863881,NaN,NaN,NaN,NaN,NaN
1829,NaN,NaN,-175.3880477,NaN,NaN,NaN,NaN,NaN
1830,NaN,NaN,-175.2733254,NaN,NaN,NaN,NaN,NaN
1831,NaN,NaN,-143.0961032,NaN,NaN,NaN,NaN,NaN
1832,NaN,NaN,-197.6174921,NaN,NaN,NaN,NaN,NaN
1833,NaN,NaN,-195.1195421,NaN,NaN,NaN,NaN,NaN
1834,NaN,NaN,-194.8700699,NaN,NaN,NaN,NaN,NaN
1835,NaN,NaN,-206.2359005,NaN,NaN,NaN,NaN,NaN
1836,NaN,NaN,-196.2791503,NaN,NaN,NaN,NaN,NaN
1837,NaN,NaN,-202.4319582,NaN,NaN,NaN,NaN,NaN
1838,NaN,NaN,-210.7995229,NaN,NaN,NaN,NaN,NaN
1839,NaN,NaN,-211.0475583,NaN,NaN,NaN,NaN,NaN
1840,NaN,NaN,-196.2573452,NaN,NaN,NaN,NaN,NaN
1841,NaN,NaN,-186.6928613,NaN,NaN,NaN,NaN,NaN
1842,NaN,NaN,-187.7781391,NaN,NaN,NaN,NaN,NaN
1843,NaN,NaN,-185.1317502,NaN,NaN,NaN,NaN,NaN
1844,NaN,NaN,-191.3028613,NaN,NaN,NaN,NaN,NaN
1845,NaN,NaN,-182.3218891,NaN,NaN,NaN,NaN,NaN
1846,NaN,NaN,-177.3518891,NaN,NaN,NaN,NaN,NaN
1847,NaN,NaN,-219.7158474,NaN,NaN,NaN,NaN,NaN
1848,NaN,NaN,-198.7384429,NaN,NaN,NaN,NaN,NaN
1849,NaN,NaN,-197.7013112,NaN,NaN,NaN,NaN,NaN
1850,NaN,NaN,-202.2597384,NaN,NaN,NaN,NaN,NaN
1851,NaN,NaN,-207.4614707,NaN,NaN,NaN,NaN,NaN
1852,NaN,NaN,-175.5722606,NaN,NaN,NaN,NaN,NaN
1853,NaN,NaN,-191.2717658,NaN,NaN,NaN,NaN,NaN
1854,NaN,NaN,-216.7284325,NaN,NaN,NaN,NaN,NaN
1855,NaN,NaN,-228.0263318,NaN,NaN,NaN,NaN,NaN
1856,NaN,NaN,-259.0501831,NaN,NaN,NaN,NaN,NaN
1857,NaN,NaN,-268.0013839,NaN,NaN,NaN,NaN,NaN
1858,NaN,NaN,-265.8929753,NaN,NaN,NaN,NaN,NaN
1859,NaN,NaN,-245.8588492,NaN,NaN,NaN,NaN,NaN
1860,NaN,NaN,-273.387414,NaN,NaN,NaN,NaN,NaN
1861,NaN,NaN,-272.6996565,NaN,NaN,NaN,NaN,NaN
1862,NaN,NaN,-240.9037407,NaN,NaN,NaN,NaN,NaN
1863,NaN,NaN,-260.7177381,NaN,NaN,NaN,NaN,NaN
